item_no	col_name	var_name	col_type
1	VMONTH	month	i
3	AGE	age	i
6	SEX	sex	i
13	RACERETH	race	i
16	PAYMCARE	medicare_payment	i
24	USETOBAC	tobacco	i
44	PASTVIS	past_visits	i
45	MAJOR	major_reason	c
46	DIAG1	dx1	c
48	DIAG2	dx2	c
50	DIAG3	dx3	c
59	ASTHMA	asthma	i
65	COPD	copd	i
76	TOTCHRON	n_chronic_conditions	i
101	PSA	psa_test	i
192	MED	any_medication	i
193	MED1	rx01_old_id	i
194	MED2	rx02_old_id	i
195	MED3	rx03_old_id	i
196	MED4	rx04_old_id	i
197	MED5	rx05_old_id	i
198	MED6	rx06_old_id	i
199	MED7	rx07_old_id	i
200	MED8	rx08_old_id	i
203	NCMED1	rx01_continued	i
204	NCMED2	rx02_continued	i
205	NCMED3	rx03_continued	i
206	NCMED4	rx04_continued	i
207	NCMED5	rx05_continued	i
208	NCMED6	rx06_continued	i
209	NCMED7	rx07_continued	i
210	NCMED8	rx08_continued	i
216	NOPROVID	provider_no_answer	i
217	PHYS	provider_physician	i
218	PHYSASST	provider_physician_asst	i
219	NPNMW	provider_nurse_prac	i
220	RNLPN	provider_rn	i
414	REGIONOFF	region	i
417	MSA	metropolitan	i
418	DRUGID1	rx01_id	c
419	PRESCR1	rx01_prescription	i
422	RX1CAT1	rx01_cat1	c
423	RX1CAT2	rx01_cat2	c
424	RX1CAT3	rx01_cat3	c
425	RX1CAT4	rx01_cat4	c
438	DRUGID2	rx02_id	c
439	PRESCR2	rx02_prescription	i
442	RX2CAT1	rx02_cat1	c
443	RX2CAT2	rx02_cat2	c
444	RX2CAT3	rx02_cat3	c
445	RX2CAT4	rx02_cat4	c
458	DRUGID3	rx03_id	c
459	PRESCR3	rx03_prescription	i
462	RX3CAT1	rx03_cat1	c
463	RX3CAT2	rx03_cat2	c
464	RX3CAT3	rx03_cat3	c
465	RX3CAT4	rx03_cat4	c
478	DRUGID4	rx04_id	c
479	PRESCR4	rx04_prescription	i
482	RX4CAT1	rx04_cat1	c
483	RX4CAT2	rx04_cat2	c
484	RX4CAT3	rx04_cat3	c
485	RX4CAT4	rx04_cat4	c
498	DRUGID5	rx05_id	c
499	PRESCR5	rx05_prescription	i
502	RX5CAT1	rx05_cat1	c
503	RX5CAT2	rx05_cat2	c
504	RX5CAT3	rx05_cat3	c
505	RX5CAT4	rx05_cat4	c
518	DRUGID6	rx06_id	c
519	PRESCR6	rx06_prescription	i
522	RX6CAT1	rx06_cat1	c
523	RX6CAT2	rx06_cat2	c
524	RX6CAT3	rx06_cat3	c
525	RX6CAT4	rx06_cat4	c
538	DRUGID7	rx07_id	c
539	PRESCR7	rx07_prescription	i
542	RX7CAT1	rx07_cat1	c
543	RX7CAT2	rx07_cat2	c
544	RX7CAT3	rx07_cat3	c
545	RX7CAT4	rx07_cat4	c
558	DRUGID8	rx08_id	c
559	PRESCR8	rx08_prescription	i
562	RX8CAT1	rx08_cat1	c
563	RX8CAT2	rx08_cat2	c
564	RX8CAT3	rx08_cat3	c
565	RX8CAT4	rx08_cat4	c
618	CSTRATM	stratum	i
619	CPSUM	survey_id	i
622	PATWT	weight	n
