item_no	col_name	var_name	col_type
1	VMONTH	month	i
3	AGE	age	i
4	SEX	sex	i
8	PAYMCARE	medicare_payment	i
16	USETOBAC	tobacco	i
28	PASTVIS	past_visits	i
29	MAJOR	major_reason	c
30	DIAG1	dx1	c
31	DIAG2	dx2	c
32	DIAG3	dx3	c
40	ASTHMA	asthma	i
45	COPD	copd	i
54	TOTCHRON	n_chronic_conditions	i
82	PSA	psa_test	i
151	MED	any_medication	i
152	MED1	rx01_old_id	i
153	MED2	rx02_old_id	i
154	MED3	rx03_old_id	i
155	MED4	rx04_old_id	i
156	MED5	rx05_old_id	i
157	MED6	rx06_old_id	i
158	MED7	rx07_old_id	i
159	MED8	rx08_old_id	i
160	NCMED1	rx01_continued	i
161	NCMED2	rx02_continued	i
162	NCMED3	rx03_continued	i
163	NCMED4	rx04_continued	i
164	NCMED5	rx05_continued	i
165	NCMED6	rx06_continued	i
166	NCMED7	rx07_continued	i
167	NCMED8	rx08_continued	i
171	NOPROVID	provider_no_answer	i
172	PHYS	provider_physician	i
173	PHYSASST	provider_physician_asst	i
174	NPNMW	provider_nurse_prac	i
175	RNLPN	provider_rn	i
184	PATWT	weight	n
185	REGION	region	i
186	MSA	metropolitan	i
197	DRUGID1	rx01_id	c
198	PRESCR1	rx01_prescription	i
201	RX1CAT1	rx01_cat1	c
202	RX1CAT2	rx01_cat2	c
203	RX1CAT3	rx01_cat3	c
204	RX1CAT4	rx01_cat4	c
217	DRUGID2	rx02_id	c
218	PRESCR2	rx02_prescription	i
221	RX2CAT1	rx02_cat1	c
222	RX2CAT2	rx02_cat2	c
223	RX2CAT3	rx02_cat3	c
224	RX2CAT4	rx02_cat4	c
237	DRUGID3	rx03_id	c
238	PRESCR3	rx03_prescription	i
241	RX3CAT1	rx03_cat1	c
242	RX3CAT2	rx03_cat2	c
243	RX3CAT3	rx03_cat3	c
244	RX3CAT4	rx03_cat4	c
257	DRUGID4	rx04_id	c
258	PRESCR4	rx04_prescription	i
261	RX4CAT1	rx04_cat1	c
262	RX4CAT2	rx04_cat2	c
263	RX4CAT3	rx04_cat3	c
264	RX4CAT4	rx04_cat4	c
277	DRUGID5	rx05_id	c
278	PRESCR5	rx05_prescription	i
281	RX5CAT1	rx05_cat1	c
282	RX5CAT2	rx05_cat2	c
283	RX5CAT3	rx05_cat3	c
284	RX5CAT4	rx05_cat4	c
297	DRUGID6	rx06_id	c
298	PRESCR6	rx06_prescription	i
301	RX6CAT1	rx06_cat1	c
302	RX6CAT2	rx06_cat2	c
303	RX6CAT3	rx06_cat3	c
304	RX6CAT4	rx06_cat4	c
317	DRUGID7	rx07_id	c
318	PRESCR7	rx07_prescription	i
321	RX7CAT1	rx07_cat1	c
322	RX7CAT2	rx07_cat2	c
323	RX7CAT3	rx07_cat3	c
324	RX7CAT4	rx07_cat4	c
337	DRUGID8	rx08_id	c
338	PRESCR8	rx08_prescription	i
341	RX8CAT1	rx08_cat1	c
342	RX8CAT2	rx08_cat2	c
343	RX8CAT3	rx08_cat3	c
344	RX8CAT4	rx08_cat4	c
433	RACERETH	race	i
453	CSTRATM	stratum	i
454	CPSUM	survey_id	i
